Number of threads is 25.
generating random projection
output path ../h5_projected/g1040_0016_binary_search_10000_ran is not exist, create output path.
rank 20, cnt =   11
rank  7, cnt =    9
rank 18, cnt =    9
rank 16, cnt =    9
rank  4, cnt =   12
rank  9, cnt =   12
rank 19, cnt =   12
rank  5, cnt =   12
rank 10, cnt =   12
rank 23, cnt =   11
rank 11, cnt =   12
rank 15, cnt =   11
rank 12, cnt =   12
rank 22, cnt =   11
rank 24, cnt =   12
rank 13, cnt =   12
rank 21, cnt =   12
rank 17, cnt =   11
rank  1, cnt =   12
rank  6, cnt =   12
rank  0, cnt =   12
rank 14, cnt =   11
rank  8, cnt =   12
rank  3, cnt =   12
rank 20, cnt =   12
rank  2, cnt =   11
rank  9, cnt =   13
rank  4, cnt =   13
rank 19, cnt =   13
rank  7, cnt =   10
rank  5, cnt =   13
rank 23, cnt =   12
rank 10, cnt =   13
rank 11, cnt =   13
rank 15, cnt =   12
rank 12, cnt =   13
rank 18, cnt =   10
rank 16, cnt =   10
rank 24, cnt =   13
rank 22, cnt =   12
rank 21, cnt =   13
rank 17, cnt =   12
rank  1, cnt =   13
rank  6, cnt =   13
rank  8, cnt =   13
rank 14, cnt =   12
rank 13, cnt =   13
rank 20, cnt =   13
rank  3, cnt =   13
rank  0, cnt =   13
rank  9, cnt =   14
rank  4, cnt =   14
rank 19, cnt =   14
rank  2, cnt =   12
rank 23, cnt =   13
rank 11, cnt =   14
rank 12, cnt =   14
rank  5, cnt =   14
rank 10, cnt =   14
rank 15, cnt =   13
rank 22, cnt =   13
rank  1, cnt =   14
rank 24, cnt =   14
rank 17, cnt =   13
rank 21, cnt =   14
rank  8, cnt =   14
rank  7, cnt =   11
rank 16, cnt =   11
rank  6, cnt =   14
rank 20, cnt =   14
rank 14, cnt =   13
rank  3, cnt =   14
rank 13, cnt =   14
rank 18, cnt =   11
rank  0, cnt =   14
rank  9, cnt =   15
rank  4, cnt =   15
rank 19, cnt =   15
rank 23, cnt =   14
rank 11, cnt =   15
rank 12, cnt =   15
rank  5, cnt =   15
rank 10, cnt =   15
rank 15, cnt =   14
rank  1, cnt =   15
rank  8, cnt =   15
rank 22, cnt =   14
rank 24, cnt =   15
rank 21, cnt =   15
rank  2, cnt =   13
rank 16, cnt =   12
rank 20, cnt =   15
rank  6, cnt =   15
rank 17, cnt =   14
rank 14, cnt =   14
rank  7, cnt =   12
rank  3, cnt =   15
rank  9, cnt =   16
rank  4, cnt =   16
rank 19, cnt =   16
rank 23, cnt =   15
rank 13, cnt =   15
rank 12, cnt =   16
rank 11, cnt =   16
rank 18, cnt =   12
rank  0, cnt =   15
rank 10, cnt =   16
rank  5, cnt =   16
rank  1, cnt =   16
rank  8, cnt =   16
rank 15, cnt =   15
rank 22, cnt =   15
rank 21, cnt =   16
rank 24, cnt =   16
rank 16, cnt =   13
rank 20, cnt =   16
rank  6, cnt =   16
rank 14, cnt =   15
rank  3, cnt =   16
rank 17, cnt =   15
rank  9, cnt =   17
rank  2, cnt =   14
rank  4, cnt =   17
rank  7, cnt =   13
rank 19, cnt =   17
rank 23, cnt =   16
rank 12, cnt =   17
rank 11, cnt =   17
rank  8, cnt =   17
rank 10, cnt =   17
rank  1, cnt =   17
rank  5, cnt =   17
rank 15, cnt =   16
rank 13, cnt =   16
rank 22, cnt =   16
rank 16, cnt =   14
rank  0, cnt =   16
rank 24, cnt =   17
rank 20, cnt =   17
rank 21, cnt =   17
rank 18, cnt =   13
rank 14, cnt =   16
rank  6, cnt =   17
rank  3, cnt =   17
rank  9, cnt =   18
rank  4, cnt =   18
rank 19, cnt =   18
rank 23, cnt =   17
rank 11, cnt =   18
rank 17, cnt =   16
rank  7, cnt =   14
rank  2, cnt =   15
rank 10, cnt =   18
rank  1, cnt =   18
rank  8, cnt =   18
rank  5, cnt =   18
rank 13, cnt =   17
rank 12, cnt =   18
rank 16, cnt =   15
rank 22, cnt =   17
rank 20, cnt =   18
rank 24, cnt =   18
rank 15, cnt =   17
rank 21, cnt =   18
rank 18, cnt =   14
rank  0, cnt =   17
rank 14, cnt =   17
rank  4, cnt =   19
rank  9, cnt =   19
rank  6, cnt =   18
rank  3, cnt =   18
rank 19, cnt =   19
rank 23, cnt =   18
rank 11, cnt =   19
rank 13, cnt =   18
rank  1, cnt =   19
rank  8, cnt =   19
rank 10, cnt =   19
rank  5, cnt =   19
rank 16, cnt =   16
rank 17, cnt =   17
rank 20, cnt =   19
rank 24, cnt =   19
rank  2, cnt =   16
rank  7, cnt =   15
rank 22, cnt =   18
rank 12, cnt =   19
rank 21, cnt =   19
rank 18, cnt =   15
rank  9, cnt =   20
rank  4, cnt =   20
rank 14, cnt =   18
rank  3, cnt =   19
rank  6, cnt =   19
rank 15, cnt =   18
rank  0, cnt =   18
rank 19, cnt =   20
rank 23, cnt =   19
rank 11, cnt =   20
rank  1, cnt =   20
rank 13, cnt =   19
rank  8, cnt =   20
rank  5, cnt =   20
rank 10, cnt =   20
rank 16, cnt =   17
rank 20, cnt =   20
rank 24, cnt =   20
rank 21, cnt =   20
rank 17, cnt =   18
rank 18, cnt =   16
rank  9, cnt =   21
rank  4, cnt =   21
rank 12, cnt =   20
rank 14, cnt =   19
rank  2, cnt =   17
rank 22, cnt =   19
rank  3, cnt =   20
rank  7, cnt =   16
rank  6, cnt =   20
rank 23, cnt =   20
rank 19, cnt =   21
rank 11, cnt =   21
rank 13, cnt =   20
rank  0, cnt =   19
rank  1, cnt =   21
rank  8, cnt =   21
rank  5, cnt =   21
rank 15, cnt =   19
rank 10, cnt =   21
rank 16, cnt =   18
rank 20, cnt =   21
rank 24, cnt =   21
rank 21, cnt =   21
rank  9, cnt =   22
rank 18, cnt =   17
rank  4, cnt =   22
rank 17, cnt =   19
rank 14, cnt =   20
rank  3, cnt =   21
rank 23, cnt =   21
rank 13, cnt =   21
rank  6, cnt =   21
rank 19, cnt =   22
rank 11, cnt =   22
rank 12, cnt =   21
rank  2, cnt =   18
rank  1, cnt =   22
rank  8, cnt =   22
rank  5, cnt =   22
rank 22, cnt =   20
rank  7, cnt =   17
rank 10, cnt =   22
rank 16, cnt =   19
rank 20, cnt =   22
rank  0, cnt =   20
rank 15, cnt =   20
rank  9, cnt =   23
rank 18, cnt =   18
rank  4, cnt =   23
rank 21, cnt =   22
rank 24, cnt =   22
rank 14, cnt =   21
rank 23, cnt =   22
rank 17, cnt =   20
rank  3, cnt =   22
rank 13, cnt =   22
rank 19, cnt =   23
rank  6, cnt =   22
rank 11, cnt =   23
rank  8, cnt =   23
rank  2, cnt =   19
rank  1, cnt =   23
rank  5, cnt =   23
rank 16, cnt =   20
rank 10, cnt =   23
rank 20, cnt =   23
rank 12, cnt =   22
rank  9, cnt =   24
rank 22, cnt =   21
rank  4, cnt =   24
rank 18, cnt =   19
rank  0, cnt =   21
rank  7, cnt =   18
rank 21, cnt =   23
rank 17, cnt =   21
rank 23, cnt =   23
rank 14, cnt =   22
rank 15, cnt =   21
rank  3, cnt =   23
rank 19, cnt =   24
rank 11, cnt =   24
rank  8, cnt =   24
rank  1, cnt =   24
rank  2, cnt =   20
rank  6, cnt =   23
rank 16, cnt =   21
rank 24, cnt =   23
rank 20, cnt =   24
rank  5, cnt =   24
rank 13, cnt =   23
rank 10, cnt =   24
rank  4, cnt =   25
rank  9, cnt =   25
rank 18, cnt =   20
rank 17, cnt =   22
rank 12, cnt =   23
rank 21, cnt =   24
rank 23, cnt =   24
rank 22, cnt =   22
rank  8, cnt =   25
rank  0, cnt =   22
rank  7, cnt =   19
rank  1, cnt =   25
rank 11, cnt =   25
rank 14, cnt =   23
rank  3, cnt =   24
rank 19, cnt =   25
rank 16, cnt =   22
rank  2, cnt =   21
rank  6, cnt =   24
rank 20, cnt =   25
rank  5, cnt =   25
rank 15, cnt =   22
rank  4, saving output file r04_01_map.h5
rank 10, cnt =   25
rank 24, cnt =   24
rank 17, cnt =   23
rank 13, cnt =   24
rank 18, cnt =   21
rank 23, cnt =   25
rank 21, cnt =   25
rank 22, cnt =   23
rank  8, saving output file r08_01_map.h5
rank  1, saving output file r01_01_map.h5
rank  11, saving output file r11_01_map.h5
rank 04, saving output file r04_01_mcf.h5
rank  9, saving output file r09_01_map.h5
rank 12, cnt =   24
rank  7, cnt =   20
rank  3, cnt =   25
rank 14, cnt =   24
rank  19, saving output file r19_01_map.h5
rank 16, cnt =   23
rank  20, saving output file r20_01_map.h5
rank  2, cnt =   22
rank  0, cnt =   23
rank  6, cnt =   25
rank 01, saving output file r01_01_mcf.h5
rank 08, saving output file r08_01_mcf.h5
rank  4, cnt =   26
rank 11, saving output file r11_01_mcf.h5
rank  5, saving output file r05_01_map.h5
rank 17, cnt =   24
rank 19, saving output file r19_01_mcf.h5
rank 09, saving output file r09_01_mcf.h5
rank 20, saving output file r20_01_mcf.h5
rank 15, cnt =   23
rank  1, cnt =   26
rank 24, cnt =   25
rank 18, cnt =   22
rank  8, cnt =   26
rank  10, saving output file r10_01_map.h5
rank 11, cnt =   26
rank  23, saving output file r23_01_map.h5
rank  21, saving output file r21_01_map.h5
rank 19, cnt =   26
rank 13, cnt =   25
rank 05, saving output file r05_01_mcf.h5
rank  9, cnt =   26
rank 14, cnt =   25
rank  7, cnt =   21
rank 16, cnt =   24
rank  3, saving output file r03_01_map.h5
